Ninad Tipnis,JTCPL Designs,,,,
Nisha Mathew & Soumitro Ghosh,Mathew & Ghosh Architects,,,,
Nithya Srinivasan & Kiran Venkatesh,Inform Architects,,,,
Noshir Talati &  Nozer Panthaky,Talati and Panthaky Associated Designers LLP (TPA),,,,
Nuru Karim,nu.de,,,,
Parul Zaveri & Nimish Patel,Abhikram,,,,
PK Das,PK Das & Associates,,,,
Ponni & Oscar Concessao,Oscar & Ponni Architects,,,,
Pratap Jadhav,Pratap Jadhav & Associates,,,,
Prem Nath,Prem Nath & Associates,,,,
Rahul Kadri,IM Kadri Architects,,,,
Rajiv D’Silva,Studio 1573,,,,
Rajiv Saini,Rajiv Saini + Associates,,,,
Ravi Sarangan & Sanjay Srinivasan,Edifice,,,,
Lijo Jos & Reny Lijo,LIJO.Reny Architects,,,,
Reza Kabul,ARK Reza Kabul architects,,,,
Rooshad Shroff,Rooshad Shroff,,,,
Rupana & Niroop Reddy,NA Architects,,,,
Sabeena Khanna,Studio KIA,,,,
Sandeep Khosla & Amaresh Anand,Khosla Associates,,,,
Sanjay Puri ,Sanjay Puri Architects,,,,
Santha Gour & Kalhan Mattoo,Planet 3 Studios,,,,
Seema Puri & Zarir Mullan,Seema Puri & Zarir Mullan Architects & Interior Designers,,,,
Sheila Sri Prakash,Shilpa Architects,,,,
Shibanee & Kamal Sagar,Total Environment,,,,
Shilpa Gore-Shah & Pinkish Shah,S+PS Architects,,,,
Shimul Javeri Kadri,SJK Architects,,,,
Shimul Javeri Kadri,SJK Architects,,,,
Shweta Mewara & Saurabh Ailawadi,Gulmohar Lane,,,,
Sonal Sancheti & Rahul Gore,OPOLIS,,,,
Sonali &  Manit Rastogi,Morphogenesis,,,,
Sonali Bhagwati,Design Plus Architecture,,,,
Sumessh Menon,Sumessh Menon Associates,,,,
Sunita & Kohelika Kohli,K2IndIa,,,,
Sunitha Kondur & Bijoy Ramachandran ,,Hundredhands,,,
Swapnil & Rahul Dalvi,Dalvi Associates,,,,
Tallulah D’silva,Architecture t,,,,
Tanuja & Sanjay Kanvinde,Kanvinde Rai & Choudhury,,,,
Tony Joseph ,Stapati,,,,
Uttam C Jain, Chirag Jain & Shona Jain,UCJ Architecture & Environment,,,
Vikas Dilawari,Vikas Dilawari Architects,,,,
Vivek Bhole,Vivek Bhole Architects,,,,
Vivek Kishore,Finer Edge,,,,
Yatin Pandya,FOOTPRINTS EARTH,,,,
Yatin Patel,DSP Design ,,,,
Akshay Heranjal ,The purple ink studio, Bengaluru,Co-founder & Principal,,
Amrita Guha and Joya Nandurdikar ,Untitled Design, New delhi,Principal Designers, ,
Anshul Chodha ,Sanctuary Architects and Designers, Bengaluru ,Principal Architect, ,
Anshul Chodha ,Sanctuary Architects and Designers, Bengaluru ,Principal Architect,,
Anushka Contractor,Anushka Contractor,Principal Designer,,,
Aarushi Bafna ,Studio Aarushi Bafna, Jaipur,Founder,,
Abdulla Kutty,Kaleido Architects, Kondotty, kerala,Architect,
Ali Bakir Baldiwala,Baldiwala Associates, Mumbai,Partner,,
Ammar Shums ,AR Designs, Ahmedabad,Principal,,
Anirban Dutta,Sbaspectra Consultants, Kolkata,Director,,
Ankita Baid ,Ark and Arts, Kolkata,Proprietor, ,
Archana Baid ,AND Design Co., Mumbai,Principal designer,,
Aslam Karadan & Sham Salim,Aslam.Sham Architects, Calicut,Principal Architects,,
Atri Shah,DA Architects,  Dahod, Gujarat,Co-Founder / Principal Architect, 
Bhavana Kumar, Kumar La Noce, Bengaluru,Principal Architect,,
Bhumika Patel,Limited Edition Design Studio, Mumbai,Director/Co-Founder,,
Chiranjivi Lunkad,Studio Infinity, Pune,Principal Designer,,
Dhaval Patel,,Founder,,,
Dhaval Shah & Mayank Parekh,ADDA Architects & Urban Designers, Surat,Partners,,
Elayaraja Mayavan,MYVN Architecture, Bengaluru,Principal,,
Gargi De,Ink Architecture, Bengaluru,Partner Architect, ,
Gargi De,Ink Architecture, Bengaluru,Partner Architect, ,
